epoch,train_time,mean_loss,mean_rmse,val_time,val_num_tuples,val_loss,val_std,val_mse,val_mape,val_median_q_error_50,val_median_q_error_95,val_median_q_error_99,epoch_time,stop_early
0,154.73457964299996,2985.547,27794.700665173244,17.36061862400038,1824,4.075926780700684,5702.362,6067.0957,1.8492876,2.785551071166992,11.43990783691406,20.983104972839357,172.111558908,False
1,155.13633246300014,4.1888676,6345.566254143428,17.50608454400026,1824,3.895598888397217,5702.362,6024.69,1.8302782,2.6969785690307617,10.21820487976074,20.19823818206787,172.66091537400007,False
2,152.40643499500038,4.0827594,6322.078170265891,17.266726556999856,1824,3.8216140270233154,5702.362,5925.111,1.8367333,2.6512513160705566,9.836980533599853,19.932575340270994,169.68744599100046,False
3,154.14945633500065,4.004844,6272.6522434496765,17.313214235000487,1824,3.7288858890533447,5702.362,5892.8174,1.7548878,2.5840699672698975,9.496549320220947,18.26219867706298,171.48061199899985,False
4,155.69684732799942,3.8858275,6198.903673877891,17.355423044999952,1824,3.599796772003174,5702.362,5864.24,1.5977442,2.578120708465576,8.91935815811157,16.56129508972167,173.07078139799978,False
5,154.94028687400078,3.6703289,6059.081099162233,17.471120886999415,1824,3.3738245964050293,5702.362,5797.051,1.3615813,2.4072914123535156,8.753791427612303,15.537642059326165,172.4288014069998,False
6,152.97497143999954,3.5177138,5885.680392408463,17.41543131800063,1824,3.209160089492798,5702.362,5616.494,1.2812463,2.312886953353882,7.805508279800413,14.112171306610104,170.40826689799997,False
7,157.35467095600052,3.3669374,5799.096623759975,17.634630798000217,1824,3.0825369358062744,5702.362,5532.1553,1.2446262,2.1641862392425537,7.933543825149533,14.965533084869385,175.0024636600001,False
8,156.01833579199956,3.234161,5964.3097178148,18.572679222999795,1824,3.0134620666503906,5702.362,5697.3955,1.2081319,2.149027109146118,7.40830817222595,15.629527950286862,174.60270208700058,False
9,155.63162302900037,3.119529,5757.903773420914,17.408581740000045,1824,2.8286116123199463,5702.362,5209.7,1.2743399,2.072596311569214,7.182434225082392,11.506838130950927,173.05553672299993,False
10,154.38738463999925,2.8920815,5584.997726372094,17.271760207000625,1824,2.608039617538452,5702.362,4934.017,1.0327243,1.9012677669525146,6.458795881271362,10.570727558135983,171.67692054100007,False
11,154.0883619340002,2.7086768,5457.6861590350345,17.58008489599979,1824,2.450894832611084,5702.362,4783.3267,0.97722685,1.830506682395935,5.71615138053894,9.5295562171936,171.6870019580001,False
12,154.47187936400042,2.5831354,5245.51311953506,17.473707973999808,1824,2.3567898273468018,5702.362,4700.139,0.8929886,1.7506989240646362,5.30754804611206,8.957703990936276,171.96477644300012,False
13,153.96763823699985,2.513077,5186.882718856687,17.571076090000133,1824,2.304060220718384,5702.362,4625.0483,0.8253405,1.701507329940796,5.205507278442383,9.266519851684569,171.554183964,False
14,153.64173179099998,2.4347126,5135.463525431014,17.36516129300071,1824,2.312246561050415,5702.362,4720.2534,0.69970906,1.6978704929351807,5.214884471893311,10.17041383743286,171.01616815899888,False
15,154.94923013800144,2.402036,5054.443412789141,17.865679053998974,1824,2.1961028575897217,5702.362,4447.668,0.7625138,1.6301637887954712,4.916790533065795,8.830239448547358,172.82915556199987,False
16,154.63111658900016,2.3500283,4926.858274938613,17.382541803001004,1824,2.248065233230591,5702.362,4751.1353,0.64321476,1.6611233949661255,5.125408792495725,8.884301528930662,172.02017418300056,False
17,153.80646659000013,2.324837,4861.488907948909,17.503417652998905,1824,2.18473219871521,5702.362,4625.36,0.6428133,1.6239956617355347,4.8051551342010494,8.715660305023189,171.32610261900118,False
18,154.8390761110004,2.2682598,4756.39264566534,17.457786876000682,1824,2.104060411453247,5702.362,4153.068,0.7596499,1.5556678771972656,4.851733922958373,8.258486843109129,172.30922525000096,False
19,153.96374076999928,2.262522,4755.438366765332,17.249280124000506,1824,2.1059932708740234,5702.362,4156.8047,0.79381543,1.5615431070327759,4.755388927459716,7.7171810150146465,171.22170418299902,False
20,154.39991090200056,2.2420182,4648.406983133913,17.487750966998647,1824,2.122420072555542,5702.362,4419.216,0.65041554,1.605252981185913,4.683087587356567,8.100418567657469,171.89487478400042,False
21,153.92105622800045,2.2493036,4683.314911315928,17.491408572999717,1824,2.130126714706421,5702.362,4441.543,0.6197482,1.5967096090316772,4.861747455596921,7.998980255126947,171.4191029119993,False
22,153.19562123799915,2.2310896,4630.731363470127,17.11940964600035,1824,2.1597900390625,5702.362,4461.0337,0.6144709,1.635762095451355,4.805334615707397,7.7532992744445774,170.32132232299955,False
23,153.3761555809997,2.1924813,4572.859127431914,17.552970036998886,1824,2.125241994857788,5702.362,4366.5107,0.5663748,1.586236596107483,4.980162096023558,8.692212753295898,170.93527491799978,False
24,153.648557085,2.1839514,4573.665365273285,17.55844639299903,1824,2.025268793106079,5702.362,3960.499,0.7674944,1.5745151042938232,4.492847681045531,6.91148455619812,171.2199504880009,False
25,154.38820127600047,2.1745253,4584.7893212361705,17.97203251100109,1824,2.106234073638916,5702.362,4347.5107,0.5736011,1.5884270668029785,4.746942567825317,7.811833982467645,172.36413617000107,False
26,154.41100144600023,2.1719165,4523.69944282795,17.243716334000055,1824,2.0257151126861572,5702.362,4212.0767,0.59486645,1.5469297170639038,4.418083763122557,7.06470498085022,171.66358781200142,False
27,153.48213836200011,2.1521661,4493.334701158664,17.370561313000508,1824,2.056227684020996,5702.362,4234.49,0.60390973,1.5507397651672363,4.605831480026245,7.021365718841548,170.8566425099998,False
28,154.38743005800097,2.1439211,4484.431043214234,17.396917942000073,1824,1.9774494171142578,5702.362,3975.9165,0.6551902,1.5416399240493774,4.180829668045041,6.901937370300293,171.79605927699959,False
29,153.5940987060003,2.121172,4478.8858681601405,17.222552983999776,1824,1.9378684759140015,5702.362,3917.4927,0.65702504,1.5095454454421997,4.123613500595091,6.6666412830352755,170.83106409399988,False
30,155.17653747199984,2.1152408,4501.300083357398,17.54246310400049,1824,1.9604326486587524,5702.362,4045.1008,0.62195885,1.529071569442749,4.285630750656127,6.162817173004147,172.72639515899937,False
